family_id,observed_normalized_wording,observed_display_wording,canonical_physical_product,construction_shape,treatment,status,alias_target_family_id,semantic_decision,matched_product_wording,all_item_count,post_change_item_count,post_change_mg01_distribution,post_change_mg01_mg02_distribution,post_change_mg01_mg02_mg03_distribution,reviewer,review_date,dictionary_version,singleton_exception
PT-DC5BE48F56,10x10 mdf box with glitter disney winter holiday mickey and minnie with christmas trees season s g,"10x10"" MDF box with glitter Disney Winter Holiday Mickey and Minnie with Christmas trees ""Season's G",Tabletop Box,MDF,Glitter,alias,PT-DC5BE48F56,Reviewed physical-product rule matched the full description,mdf box,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-70B03DB139,10x10 x 7 nested mdf box shelf set of 2 dc comics pattern,"10x10"" x 7"" Nested MDF box shelf set of 2 DC Comics pattern",Wall Shelf,MDF,,alias,PT-70B03DB139,Reviewed physical-product rule matched the full description,nested mdf box shelf,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-70B03DB139,10x10 x 7 nested mdf box shelf set of 2 disney vintage mickey pattern,"10x10"" x 7"" Nested MDF box shelf set of 2 Disney Vintage Mickey pattern",Wall Shelf,MDF,,alias,PT-70B03DB139,Reviewed physical-product rule matched the full description,nested mdf box shelf,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-70B03DB139,10x10 x 7 nested mdf box shelf set of 2 marvel retro comics pattern,"10x10"" x 7"" Nested MDF box shelf set of 2 Marvel Retro Comics pattern",Wall Shelf,MDF,,alias,PT-70B03DB139,Reviewed physical-product rule matched the full description,nested mdf box shelf,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-70B03DB139,10x10 x 7 nested mdf box shelf set of 2 paw patrol pattern,"10x10"" x 7"" Nested MDF box shelf set of 2 PAW PATROL pattern",Wall Shelf,MDF,,alias,PT-70B03DB139,Reviewed physical-product rule matched the full description,nested mdf box shelf,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-70B03DB139,10x10 x 7 nested mdf box shelf set of 2 star wars torn paper pattern,"10x10"" x 7"" Nested MDF box shelf set of 2 Star Wars torn paper pattern",Wall Shelf,MDF,,alias,PT-70B03DB139,Reviewed physical-product rule matched the full description,nested mdf box shelf,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-E327D4E0A1,10x11 6 x 1 greyboard letter with holofoil print marvel letter m,"10x11.6"" x 1"" Greyboard letter with holofoil print Marvel letter 'M'",Tabletop Monogram,Letter,Foil,alias,PT-E327D4E0A1,Reviewed physical-product rule matched the full description,greyboard letter,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,10x13 5 avengers canvas same art as vsz16maav,10x13.5 Avengers Canvas (same art as VSZ16MAAV),Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,10x13 5 marvel comics logo panels canvas,10x13.5 MARVEL COMICS Logo & Panels Canvas,Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,10x13 5 the child illustration on black canvas,10x13.5 The Child illustration on black Canvas,Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,10x13 5 x 1 canvas avengers group and black panther vsz14mbav,"10x13.5"" x 1"" Canvas Avengers group and Black Panther VSZ14MBAV",Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,10x13 5 x 1 canvas avengers group vsz14mcav,"10x13.5"" x 1"" Canvas Avengers group VSZ14MCAV",Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,10x13 5 x 1 canvas dc justice league group shot comic cover bu12 408,"10x13.5"" x 1"" Canvas DC Justice League group shot comic cover BU12-408",Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,10x13 5 x 1 canvas dc justice league group shot comic cover bu12 409,"10x13.5"" x 1"" Canvas DC Justice League group shot comic cover BU12-409",Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,10x13 5 x 1 canvas disney princesses group,"10x13.5"" x 1"" Canvas Disney Princesses group",Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,10x13 5 x 1 canvas minnie collage miss minnie,"10x13.5"" x 1"" Canvas Minnie collage ""Miss Minnie""",Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,10x13 5 x 1 canvas spider man vsz14masp,10x13.5 x 1 Canvas Spider-Man VSZ14MASP,Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,10x13 canvas bath,10X13 CNVS BATH,Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,2,2,A: 2,A|A2: 2,A|A2|Q3: 1; A|A2|01: 1,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-B04D2C04D4,10x18 mdf framed print harry potter platform 9 3 4 with hogwart express,10x18 MDF framed print Harry Potter Platform 9 3/4 with Hogwart Express,Framed Print,MDF,Printed,alias,PT-B04D2C04D4,Reviewed physical-product rule matched the full description,mdf framed,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,10x20 sunflower canvas,10x20 sunflower canvas,Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-3FC5563CAB,10x30 printed glass shadowbox marvel marvel logo with marvel universe background,10x30 Printed glass shadowbox Marvel MARVEL logo with Marvel Universe background,Framed Glass Shadowbox,Glass Shadowbox,Printed,alias,PT-3FC5563CAB,Reviewed physical-product rule matched the full description,printed glass shadowbox,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-3FC5563CAB,10x30 printed glass shadowbox marvel spider man spider man on black with swinging spider man,"10x30"" Printed glass shadowbox Marvel Spider-man ""SPIDER-MAN"" on black with swinging Spider-Man",Framed Glass Shadowbox,Glass Shadowbox,Printed,alias,PT-3FC5563CAB,Reviewed physical-product rule matched the full description,printed glass shadowbox,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-3FC5563CAB,10x30 printed glass shadowbox star wars star wars with group shot,"10x30"" Printed glass shadowbox Star Wars ""STAR WARS"" with group shot",Framed Glass Shadowbox,Glass Shadowbox,Printed,alias,PT-3FC5563CAB,Reviewed physical-product rule matched the full description,printed glass shadowbox,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-82CA6245E0,10x30 spider man swinging text printed glass,"10X30"" Spider-Man Swinging Text Printed Glass",Framed Glass Art,Printed Glass,Printed,alias,PT-82CA6245E0,Reviewed physical-product rule matched the full description,printed glass,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
,10x30x1 star wars greyboard letters force,"10x30x1"" Star Wars greyboard letters ""FORCE""",,,,needs_review,,No reviewed physical-product rule matched,,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
,10x30x1 star wars greyboard letters jedi,10x30x1 Star Wars greyboard letters JEDI,,,,needs_review,,No reviewed physical-product rule matched,,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,10x48 canvas growth chart disney frozen 2,"10X48"" CANVAS GROWTH CHART DISNEY FROZEN 2",Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,10x48 canvas growth chart disney princess,10X48 CANVAS GROWTH CHART DISNEY PRINCESS,Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,10x48 canvas growth chart justice league,10X48 CANVAS GROWTH CHART JUSTICE LEAGUE,Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,10x48 canvas growth chart marvel heroes,10X48 CANVAS GROWTH CHART MARVEL HEROES,Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,10x48 canvas growth chart star wars,"10X48"" CANVAS GROWTH CHART STAR WARS",Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
,10x48 horror leaner w led,10x48 horror leaner w led,,,,needs_review,,No reviewed physical-product rule matched,,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
,10x48 nbx leaner,10x48 nbx leaner,,,,needs_review,,No reviewed physical-product rule matched,,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
,10x48 nbx leaner w led,10x48 nbx leaner w LED,,,,needs_review,,No reviewed physical-product rule matched,,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A6E5E7BFF6,10x48 non woven fabric hanging file organizer dc justice league symbols,"10x48"" Non-woven fabric hanging file organizer DC Justice League symbols",Storage Organizer,Hanging,,alias,PT-A6E5E7BFF6,Reviewed physical-product rule matched the full description,hanging file organizer,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A6E5E7BFF6,10x48 non woven fabric hanging file organizer dc wayne industries,"10x48"" Non-woven fabric hanging file organizer DC Wayne Industries",Storage Organizer,Hanging,,alias,PT-A6E5E7BFF6,Reviewed physical-product rule matched the full description,hanging file organizer,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A6E5E7BFF6,10x48 non woven fabric hanging file organizer friends watercolor illustrations,"10x48"" Non-woven fabric hanging file organizer Friends watercolor illustrations",Storage Organizer,Hanging,,alias,PT-A6E5E7BFF6,Reviewed physical-product rule matched the full description,hanging file organizer,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A6E5E7BFF6,10x48 non woven fabric hanging file organizer harry potter marauder s map,"10x48"" Non-woven fabric hanging file organizer Harry Potter Marauder's Map",Storage Organizer,Hanging,,alias,PT-A6E5E7BFF6,Reviewed physical-product rule matched the full description,hanging file organizer,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A6E5E7BFF6,10x48 non woven fabric hanging file organizer marvel avengers doodle,"10x48"" Non-woven fabric hanging file organizer Marvel Avengers Doodle",Storage Organizer,Hanging,,alias,PT-A6E5E7BFF6,Reviewed physical-product rule matched the full description,hanging file organizer,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A6E5E7BFF6,10x48 non woven fabric hanging file organizer marvel avengers warhol pop,"10x48"" Non-woven fabric hanging file organizer Marvel Avengers Warhol Pop",Storage Organizer,Hanging,,alias,PT-A6E5E7BFF6,Reviewed physical-product rule matched the full description,hanging file organizer,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A6E5E7BFF6,10x48 non woven fabric hanging file organizer marvel comics colorful,"10x48"" Non-woven fabric hanging file organizer Marvel Comics Colorful",Storage Organizer,Hanging,,alias,PT-A6E5E7BFF6,Reviewed physical-product rule matched the full description,hanging file organizer,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A6E5E7BFF6,10x48 non woven fabric hanging file organizer marvel schematic,"10x48"" Non-woven fabric hanging file organizer Marvel Schematic",Storage Organizer,Hanging,,alias,PT-A6E5E7BFF6,Reviewed physical-product rule matched the full description,hanging file organizer,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A6E5E7BFF6,10x48 non woven fabric hanging file organizer marvel shield,"10x48"" Non-woven fabric hanging file organizer Marvel SHIELD",Storage Organizer,Hanging,,alias,PT-A6E5E7BFF6,Reviewed physical-product rule matched the full description,hanging file organizer,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A6E5E7BFF6,10x48 non woven fabric hanging file organizer marvel spider man doodle,"10x48"" Non-woven fabric hanging file organizer Marvel Spider-man doodle",Storage Organizer,Hanging,,alias,PT-A6E5E7BFF6,Reviewed physical-product rule matched the full description,hanging file organizer,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A6E5E7BFF6,10x48 non woven fabric hanging file organizer marvel spiderman deco,"10x48"" Non-woven fabric hanging file organizer Marvel Spiderman Deco",Storage Organizer,Hanging,,alias,PT-A6E5E7BFF6,Reviewed physical-product rule matched the full description,hanging file organizer,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A6E5E7BFF6,10x48 non woven fabric hanging file organizer marvel stark industries,"10x48"" Non-woven fabric hanging file organizer Marvel Stark Industries",Storage Organizer,Hanging,,alias,PT-A6E5E7BFF6,Reviewed physical-product rule matched the full description,hanging file organizer,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A6E5E7BFF6,10x48 non woven fabric hanging file organizer marvel watercolor,"10x48"" Non-woven fabric hanging file organizer Marvel Watercolor",Storage Organizer,Hanging,,alias,PT-A6E5E7BFF6,Reviewed physical-product rule matched the full description,hanging file organizer,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
,10x48 scary leaner w led,10x48 scary leaner w led,,,,needs_review,,No reviewed physical-product rule matched,,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-1EBAC22398,10x5 mixed license desktop organizer,"10X5"" MIXED LICENSE DESKTOP ORGANIZER",Stationery Organizer,Multi-Section,,alias,PT-1EBAC22398,Reviewed physical-product rule matched the full description,desktop organizer,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
,11x12 5 mdf yellow friends frame wall art,11x12.5 MDF Yellow friends Frame wall Art,,,,needs_review,,No reviewed physical-product rule matched,,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
,11x14 2pc setmar 26,11X14 2PC SETMAR 26,,,,needs_review,,No reviewed physical-product rule matched,,1,1,A: 1,A|A2: 1,A|A2|A2: 1,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-B24577E1FE,11x14 3d lenticular disney princess group with minimalist backdrop,11x14 3D lenticular Disney Princess group with minimalist backdrop,Framed Lenticular Art,3D Lenticular,,alias,PT-B24577E1FE,Reviewed physical-product rule matched the full description,3d lenticular,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,11x14 assorted non licensed canvas,11x14 assorted non-licensed canvas,Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-AA6713379C,11x14 asst diy canvas asst licenses aa,11x14 asst DiY canvas asst licenses AA,Paint-Your-Own Canvas Set,Canvas Set,DIY,alias,PT-AA6713379C,Reviewed physical-product rule matched the full description,diy canvas,1,1,A: 1,A|A2: 1,A|A2|D2: 1,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,11x14 canvas friends hi did somebody say party collage,11x14 Canvas Friends Hi did somebody say party? collage,Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-7DA89C275E,11x14 canvas w clear gel star wars the child pop on black,11x14 Canvas w clear gel Star Wars The Child pop on black,Canvas,Stretched,Gel Coat,alias,PT-7DA89C275E,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-666DB3E97C,11x14 canvas w glitter disney princess sticker girl power,11x14 Canvas w glitter Disney Princess Sticker Girl Power,Canvas,Stretched,Glitter,alias,PT-666DB3E97C,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-666DB3E97C,11x14 canvas w glitter disney princess sticker i love books,11x14 Canvas w glitter Disney Princess Sticker I Love Books,Canvas,Stretched,Glitter,alias,PT-666DB3E97C,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-666DB3E97C,11x14 canvas w glitter nickelodeon jojo play dance repeat,11x14 Canvas w glitter Nickelodeon JoJo Play Dance Repeat,Canvas,Stretched,Glitter,alias,PT-666DB3E97C,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-82CA6245E0,11x14 dc super villians printed glass,11x14 DC SUPER VILLIANS PRINTED GLASS,Framed Glass Art,Printed Glass,Printed,alias,PT-82CA6245E0,Reviewed physical-product rule matched the full description,printed glass,1,1,B: 1,B|G1: 1,B|G1|X1: 1,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-2061580616,11x14 floating frame canvas box disney princess follow your dreams,11x14 floating frame canvas box Disney Princess Follow your dreams,Framed Canvas,Floater Frame,,alias,PT-2061580616,Reviewed physical-product rule matched the full description,floating frame canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-B04D2C04D4,11x14 framed mdf print disney princess dream it be it girl powered,11x14 framed MDF print Disney princess Dream it. Be it. Girl powered.,Framed Print,MDF,Printed,alias,PT-B04D2C04D4,Reviewed physical-product rule matched the full description,framed mdf,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A2CEB34715,11x14 mdf box disney princess today is my day,11x14 MDF box Disney princess Today is my day,Tabletop Box,MDF,,alias,PT-A2CEB34715,Reviewed physical-product rule matched the full description,mdf box,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-A2CEB34715,11x14 mdf box the mandalorian the child on purple background w star wars logo,11x14 MDF box The Mandalorian The Child on purple background w/ Star Wars logo,Tabletop Box,MDF,,alias,PT-A2CEB34715,Reviewed physical-product rule matched the full description,mdf box,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
,11x14 mixed license assortment,"11X14"" MIXED LICENSE ASSORTMENT",,,,needs_review,,No reviewed physical-product rule matched,,4,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,11x14 sparkle canvas disney cinderella made with sparkle,11x14 sparkle canvas Disney Cinderella Made With Sparkle,Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,11x14 x 1 5 canvas captain america collage on american flag,"11x14"" x 1.5"" Canvas Captain America collage on American flag",Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-DCCE809588,11x14 x 1 5 canvas disney princess,"11x14"" x 1.5"" Canvas Disney Princess",Canvas,Stretched,Plain or Printed,alias,PT-DCCE809588,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-8A3F648D4E,11x14 x 1 5 high gloss canvas avengers group action shot juvenile,"11x14"" x 1.5"" high gloss canvas Avengers Group action shot Juvenile",Canvas,Stretched,High Gloss,alias,PT-8A3F648D4E,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-8A3F648D4E,11x14 x 1 5 high gloss canvas spider man crouching on side of building,"11x14"" x 1.5"" high gloss canvas Spider-man crouching on side of building",Canvas,Stretched,High Gloss,alias,PT-8A3F648D4E,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-8A3F648D4E,11x14 x 1 5 high gloss canvas toy story 4 buzz lightyear to infinity and beyond,"11x14"" x 1.5"" high gloss canvas Toy Story 4 Buzz Lightyear ""To Infinity And Beyond!""",Canvas,Stretched,High Gloss,alias,PT-8A3F648D4E,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-8A3F648D4E,11x14 x 1 5 high gloss canvas toy story 4 group shot takin action,"11x14"" x 1.5"" high gloss canvas Toy Story 4 Group shot ""Takin' Action!""",Canvas,Stretched,High Gloss,alias,PT-8A3F648D4E,Reviewed physical-product rule matched the full description,canvas,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-F4D301932D,11x16 x 5 3d lenticular framed 23 8x36 5cm print size camping orange and green tent with campfire,"11x16"" x .5"" 3D lenticular framed 23.8x36.5cm print size Camping orange and green tent with campfire",Framed Lenticular Art,3D Lenticular,Printed,alias,PT-F4D301932D,Reviewed physical-product rule matched the full description,3d lenticular,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-F4D301932D,11x16 x 5 3d lenticular framed 23 8x36 5cm print size camping two people by a campfire,"11x16"" x .5"" 3D lenticular framed 23.8x36.5cm print size Camping two people by a campfire",Framed Lenticular Art,3D Lenticular,Printed,alias,PT-F4D301932D,Reviewed physical-product rule matched the full description,3d lenticular,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-B24577E1FE,11x17 3d frame lenticular art framed,11X17  3D FRAME LENTICULAR ART FRAMED,Framed Lenticular Art,3D Lenticular,,alias,PT-B24577E1FE,Reviewed physical-product rule matched the full description,lenticular art,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-020A2532C4,11x17 3d in 1 frame batman bat,11x17 3D in 1 Frame Batman (Bat),Framed Relief Art,3D,,alias,PT-020A2532C4,Reviewed physical-product rule matched the full description,3d in 1 frame,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-020A2532C4,11x17 3d in 1 frame dc assorted,"11x17 3D in 1"" Frame DC Assorted",Framed Relief Art,3D,,alias,PT-020A2532C4,Reviewed physical-product rule matched the full description,3d in 1 frame,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
PT-020A2532C4,11x17 3d in 1 frame joker,"11x17 3D in 1"" Frame Joker",Framed Relief Art,3D,,alias,PT-020A2532C4,Reviewed physical-product rule matched the full description,3d in 1 frame,1,0,,,,Codex semantic rule review,2026-08-17,2026-08-17-v1,
