ref,issue,licensor,style_guide,character,places_used,what_we_have,what_that_code_actually_is,the_problem,what_we_need_from_you,options,YOUR_ANSWER,YOUR_NOTES
B008,One row names several characters,Disney,Cars,Cars - Mia & Tia alone,1,Cars - Mia & Tia alone,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: mia, tia alone.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B009,One row names several characters,Disney,Cars 2,"Cars 2 - Doc Hudson,Hudson Hornet Piston Cup, Sarge, Acer - Alone/Together",1,"Cars 2 - Doc Hudson,Hudson Hornet Piston Cup, Sarge, Acer - Alone/Together",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: doc hudson, hudson hornet piston cup, sarge, acer alone together.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B010,One row names several characters,Disney,Cars 2,Cars 2 - Jeff Gorvette with 24 & Signature - Alone,1,Cars 2 - Jeff Gorvette with 24 & Signature - Alone,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jeff gorvette with 24, signature alone.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B011,One row names several characters,Disney,Cars 2,"Cars 2 - Nigel Gearsley crew chief, BMW, Mini Cooper - Alone/Together",1,"Cars 2 - Nigel Gearsley crew chief, BMW, Mini Cooper - Alone/Together",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: nigel gearsley crew chief, bmw, mini cooper alone together.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B012,One row names several characters,Disney,Cars 2,"Cars 2 - Ramone, Bub Cutlass, Cori Vetta - Alone/Together",1,"Cars 2 - Ramone, Bub Cutlass, Cori Vetta - Alone/Together",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: ramone, bub cutlass, cori vetta alone together.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B013,One row names several characters,Disney,Cars 3,Cars 3 - Jeff Gorvette and 24 & Signature,1,Cars 3 - Jeff Gorvette and 24 & Signature,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jeff gorvette, 24, signature.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B014,One row names several characters,Disney,Disney Stitch Franchise,Leroy & Stitch (DSF),1,Leroy & Stitch (DSF),,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: leroy, stitch dsf.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B015,One row names several characters,Disney,Disney Stitch Franchise,Lilo & Stitch The Series (DSF),1,Lilo & Stitch The Series (DSF),,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: lilo, stitch the series dsf.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B016,One row names several characters,Disney,Disney Zombies,"Disney Zombies - Addison, Zoey, Eliza, Zed, Bucky, Bonzo",1,"Disney Zombies - Addison, Zoey, Eliza, Zed, Bucky, Bonzo",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: addison, zoey, eliza, zed, bucky, bonzo.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B017,One row names several characters,Disney,Disney Zombies,"Disney Zombies - Bonzo, Zed, Eliza",1,"Disney Zombies - Bonzo, Zed, Eliza",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: bonzo, zed, eliza.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B018,One row names several characters,Disney,Disney Zombies,"Disney Zombies - Eliza, Zed, Addison, Bonzo",1,"Disney Zombies - Eliza, Zed, Addison, Bonzo",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: eliza, zed, addison, bonzo.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B019,One row names several characters,Disney,High School Musical,"High School Musical - Troy, Gabriella, Chad, Taylor, Sharpay, Ryan",1,"High School Musical - Troy, Gabriella, Chad, Taylor, Sharpay, Ryan",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: troy, gabriella, chad, taylor, sharpay, ryan.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B020,One row names several characters,Disney,High School Musical 2,"High School Musical 2 - Gabriella, Taylor & Troy",1,"High School Musical 2 - Gabriella, Taylor & Troy",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: gabriella, taylor, troy.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B021,One row names several characters,Disney,High School Musical 2,"High School Musical 2 - Troy, Gabriella, Chad, Taylor, Sharpay, Ryan",1,"High School Musical 2 - Troy, Gabriella, Chad, Taylor, Sharpay, Ryan",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: troy, gabriella, chad, taylor, sharpay, ryan.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B022,One row names several characters,Disney,High School Musical 2,"High School Musical 2 - Troy, Taylor, Sharpay",1,"High School Musical 2 - Troy, Taylor, Sharpay",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: troy, taylor, sharpay.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B023,One row names several characters,Disney,High School Musical 3,"High School Musical 3 - Troy, Gabriella, Chad, Taylor, Sharpay, Ryan",1,"High School Musical 3 - Troy, Gabriella, Chad, Taylor, Sharpay, Ryan",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: troy, gabriella, chad, taylor, sharpay, ryan.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B024,One row names several characters,Disney,High School Musical 3,"High School Musical 3 - Troy, Gabrielle, Sharpay, Ryan",1,"High School Musical 3 - Troy, Gabrielle, Sharpay, Ryan",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: troy, gabrielle, sharpay, ryan.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B025,One row names several characters,Disney,High School Musical: The Musical: The Series,"High School Musical: The Musical-General (No Name, Likeness, Voice Royalty)",1,"High School Musical: The Musical-General (No Name, Likeness, Voice Royalty)",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: high school musical the musical general no name, likeness, voice royalty.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B026,One row names several characters,Warner Bros,Looney Tunes Core,Bugs Bunny & Harley Davidson,1,Bugs Bunny & Harley Davidson,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: bugs bunny, harley davidson.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B027,One row names several characters,Warner Bros,Looney Tunes Core,Cottontail Smith & Horse,1,Cottontail Smith & Horse,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: cottontail smith, horse.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B028,One row names several characters,Warner Bros,Looney Tunes Core,Daffy Duck & Harley Davidson,1,Daffy Duck & Harley Davidson,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: daffy duck, harley davidson.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B029,One row names several characters,Warner Bros,Looney Tunes Core,Goofy Gophers (Mac & Tosh),1,Goofy Gophers (Mac & Tosh),,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: goofy gophers mac, tosh.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B030,One row names several characters,Warner Bros,Looney Tunes Core,Hatfield & Mccoy (Feudin` Mountain Boys),1,Hatfield & Mccoy (Feudin` Mountain Boys),,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: hatfield, mccoy feudin mountain boys.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B031,One row names several characters,Warner Bros,Looney Tunes Core,Marvin The Martian & Harley Davidson,1,Marvin The Martian & Harley Davidson,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: marvin the martian, harley davidson.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B032,One row names several characters,Warner Bros,Looney Tunes Core,Moth & Honey Bee,1,Moth & Honey Bee,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: moth, honey bee.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B033,One row names several characters,Warner Bros,Looney Tunes Core,Road Runner & Harley Davidson,1,Road Runner & Harley Davidson,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: road runner, harley davidson.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B034,One row names several characters,Warner Bros,Looney Tunes Core,Sylvester & Harley Davidson,1,Sylvester & Harley Davidson,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: sylvester, harley davidson.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B035,One row names several characters,Warner Bros,Looney Tunes Core,Tasmanian Devil & Harley Davidson,1,Tasmanian Devil & Harley Davidson,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: tasmanian devil, harley davidson.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B036,One row names several characters,Warner Bros,Looney Tunes Core,Tweety & Harley Davidson,1,Tweety & Harley Davidson,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: tweety, harley davidson.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B037,One row names several characters,Warner Bros,Looney Tunes Core,Wile E. Coyote & Harley Davidson,1,Wile E. Coyote & Harley Davidson,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: wile e coyote, harley davidson.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B038,One row names several characters,Warner Bros,Looney Tunes Core,Yosemite Sam & Harley Davidson,1,Yosemite Sam & Harley Davidson,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: yosemite sam, harley davidson.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B039,One row names several characters,Marvel,Marvel Studios' Ant-Man Wasp Quantumania - No Likeness,Marvel Studios` Ant-Man & Wasp Logo ( Marvel Studios` Ant-Man Wasp Quantuma,1,Marvel Studios` Ant-Man & Wasp Logo ( Marvel Studios` Ant-Man Wasp Quantuma,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: marvel studios ant man, wasp logo marvel studios ant man wasp quantuma.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B040,One row names several characters,Marvel,Marvel Studios' Ant-Man Wasp Quantumania - No Likeness,Marvel Studios` Ant-Man & Wasp Logo ( MS` Ant-Man Wasp Quantumania ),1,Marvel Studios` Ant-Man & Wasp Logo ( MS` Ant-Man Wasp Quantumania ),,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: marvel studios ant man, wasp logo ms ant man wasp quantumania.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B041,One row names several characters,Marvel,Marvel Studios' Ant-Man Wasp Quantumania - With Likeness,Marvel Studios` Ant-Man & Wasp Logo ( MS` Ant-Man Wasp Quantumania ),1,Marvel Studios` Ant-Man & Wasp Logo ( MS` Ant-Man Wasp Quantumania ),,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: marvel studios ant man, wasp logo ms ant man wasp quantumania.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B042,One row names several characters,Marvel,Marvel's Moon Girl and Devil Dinosaur,Moon Girl & Devil Dinosaur - Gen ( Marvel`s Moon Girl and Devil Dinosaur ),1,Moon Girl & Devil Dinosaur - Gen ( Marvel`s Moon Girl and Devil Dinosaur ),,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: gen.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B043,One row names several characters,Disney,Mickey Mouse,Mickey & Donald Show,1,Mickey & Donald Show,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: mickey, donald show.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B044,One row names several characters,Disney,Mickey Mouse,Mickey & Pluto - Back To School,1,Mickey & Pluto - Back To School,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: back to school.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B045,One row names several characters,Disney,Mickey Mouse Family,Morty & Ferdy,1,Morty & Ferdy,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: morty, ferdy.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B046,One row names several characters,Disney,Minnie,Minnie & Me,1,Minnie & Me,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: minnie, me.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B047,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,Pirates: Dead Man`s Chest - Jack & Davy Jones,1,Pirates: Dead Man`s Chest - Jack & Davy Jones,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, davy jones.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B048,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,Pirates: Dead Man`s Chest - Jack & Elizabeth,1,Pirates: Dead Man`s Chest - Jack & Elizabeth,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, elizabeth.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B049,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,Pirates: Dead Man`s Chest - Jack & Will,1,Pirates: Dead Man`s Chest - Jack & Will,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B050,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: Dead Man`s Chest - Jack, B Bill, D Jones & Palifico",1,"Pirates: Dead Man`s Chest - Jack, B Bill, D Jones & Palifico",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, b bill, d jones, palifico.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B051,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: Dead Man`s Chest - Jack, Elizabeth & Guard",1,"Pirates: Dead Man`s Chest - Jack, Elizabeth & Guard",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, elizabeth, guard.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B052,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: Dead Man`s Chest - Jack, Elizabeth, B Bill & Guard",1,"Pirates: Dead Man`s Chest - Jack, Elizabeth, B Bill & Guard",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, elizabeth, b bill, guard.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B053,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: Dead Man`s Chest - Jack, Pintel & Cotton",1,"Pirates: Dead Man`s Chest - Jack, Pintel & Cotton",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, pintel, cotton.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B054,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: Dead Man`s Chest - Jack, Will & Elizabeth",1,"Pirates: Dead Man`s Chest - Jack, Will & Elizabeth",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, elizabeth.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B055,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: Dead Man`s Chest - Jack, Will & Gibbs",1,"Pirates: Dead Man`s Chest - Jack, Will & Gibbs",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, gibbs.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B056,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: Dead Man`s Chest - Jack, Will & Norrington",1,"Pirates: Dead Man`s Chest - Jack, Will & Norrington",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, norrington.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B057,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: Dead Man`s Chest - Jack, Will & Pintel",1,"Pirates: Dead Man`s Chest - Jack, Will & Pintel",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, pintel.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B058,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: Dead Man`s Chest - Jack, Will, & Davy",1,"Pirates: Dead Man`s Chest - Jack, Will, & Davy",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, davy.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B059,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: Dead Man`s Chest - Jack, Will, Bootstrap Bill & Davy",1,"Pirates: Dead Man`s Chest - Jack, Will, Bootstrap Bill & Davy",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, bootstrap bill, davy.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B060,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: Dead Man`s Chest - Jack, Will, Elizabeth & Barbossa",1,"Pirates: Dead Man`s Chest - Jack, Will, Elizabeth & Barbossa",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, elizabeth, barbossa.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B061,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: Dead Man`s Chest - Jack, Will, Elizabeth & Jones",1,"Pirates: Dead Man`s Chest - Jack, Will, Elizabeth & Jones",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, elizabeth, jones.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B062,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: Dead Man`s Chest - Jack, Will, Elizabeth, Jones & Pintel",1,"Pirates: Dead Man`s Chest - Jack, Will, Elizabeth, Jones & Pintel",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, elizabeth, jones, pintel.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B063,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: Dead Man`s Chest - Jack, Will, Norrington & Pintel",1,"Pirates: Dead Man`s Chest - Jack, Will, Norrington & Pintel",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, norrington, pintel.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B064,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: Dead Man`s Chest - Jack, Will, Pintel, D Jones, B Bill & Palifico",1,"Pirates: Dead Man`s Chest - Jack, Will, Pintel, D Jones, B Bill & Palifico",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, pintel, d jones, b bill, palifico.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B065,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,Pirates: Dead Man`s Chest - Will & Davy,1,Pirates: Dead Man`s Chest - Will & Davy,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: will, davy.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B066,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,Pirates: Dead Man`s Chest - Will & Elizabeth,1,Pirates: Dead Man`s Chest - Will & Elizabeth,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: will, elizabeth.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B067,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: Dead Man`s Chest - Will, Elizabeth & Bellamy",1,"Pirates: Dead Man`s Chest - Will, Elizabeth & Bellamy",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: will, elizabeth, bellamy.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
