style_guide,character_name,source_character_id,components,reason,decision
Toy Story 3,"Toy Story 3 - 3D Slinky Dog, Ken and/or Barbie & Barbie Car",518032534,3d slinky dog | ken | or barbie | barbie car,"Combination row naming characters that appear nowhere else under this licensor: 3d slinky dog, ken, or barbie, barbie car",
Toy Story 3,"Toy Story 3 - 3D Slinky Dog, Ken and/or Barbie & Chatter Phone",518032535,3d slinky dog | ken | or barbie | chatter phone,"Combination row naming characters that appear nowhere else under this licensor: 3d slinky dog, ken, or barbie, chatter phone",
Toy Story 3,"Toy Story 3 - 3D Slinky Dog, Ken and/or Barbie & Mr PH and/or Mrs PH",518032536,3d slinky dog | ken | or barbie | mr ph | or mrs ph,"Combination row naming characters that appear nowhere else under this licensor: 3d slinky dog, ken, or barbie, mr ph, or mrs ph",
Toy Story 3,"Toy Story 3 - 3D Slinky Dog, Ken and/or Barbie, Barbie Car & Chatter Phone",518032537,3d slinky dog | ken | or barbie | barbie car | chatter phone,"Combination row naming characters that appear nowhere else under this licensor: 3d slinky dog, ken, or barbie, barbie car, chatter phone",
Toy Story 3,"Toy Story 3 - 3DSlinkyDog, Ken and/or Barbie, BarbieCar & MrPH and/or MrsPH",518032538,3dslinkydog | ken | or barbie | barbiecar | mrph | or mrsph,"Combination row naming characters that appear nowhere else under this licensor: 3dslinkydog, ken, or barbie, barbiecar, mrph, or mrsph",
Toy Story 3,"Toy Story 3 - 3DSlinkyDog, Ken and/or Barbie, ChatPhon & MrPH and/or MrsPH",518032545,3dslinkydog | ken | or barbie | chatphon | mrph | or mrsph,"Combination row naming characters that appear nowhere else under this licensor: 3dslinkydog, ken, or barbie, chatphon, mrph, or mrsph",
Toy Story 3,Toy Story 3 - Barbie Car & Chatter Phone,518032550,barbie car | chatter phone,"Combination row naming characters that appear nowhere else under this licensor: barbie car, chatter phone",
Toy Story 3,Toy Story 3 - Barbie Car & Mr Potato Head and/or Mrs Potato Head,518032551,barbie car | mr potato head | or mrs potato head,"Combination row naming characters that appear nowhere else under this licensor: barbie car, mr potato head, or mrs potato head",
Toy Story 3,"Toy Story 3 - Barbie Car, Chatter Phone & Mr PH and/or Mrs PH",518032552,barbie car | chatter phone | mr ph | or mrs ph,"Combination row naming characters that appear nowhere else under this licensor: barbie car, chatter phone, mr ph, or mrs ph",
Toy Story 3,Toy Story 3 - Chatter Phone & Mr Potato Head and/or Mrs Potato Head,518032553,chatter phone | mr potato head | or mrs potato head,"Combination row naming characters that appear nowhere else under this licensor: chatter phone, mr potato head, or mrs potato head",
Toy Story 3,Toy Story 3 - Ken and/or Barbie & Barbie Car,518032543,ken | or barbie | barbie car,"Combination row naming characters that appear nowhere else under this licensor: ken, or barbie, barbie car",
Toy Story 3,Toy Story 3 - Ken and/or Barbie & Chatter Phone,518032544,ken | or barbie | chatter phone,"Combination row naming characters that appear nowhere else under this licensor: ken, or barbie, chatter phone",
Toy Story 3,Toy Story 3 - Ken and/or Barbie & Mr Potato Head and/or Mrs Potato Head,518032546,ken | or barbie | mr potato head | or mrs potato head,"Combination row naming characters that appear nowhere else under this licensor: ken, or barbie, mr potato head, or mrs potato head",
Toy Story 3,"Toy Story 3 - Ken and/or Barbie, Barbie car & Chatter Phone",518032547,ken | or barbie | barbie car | chatter phone,"Combination row naming characters that appear nowhere else under this licensor: ken, or barbie, barbie car, chatter phone",
Toy Story 3,"Toy Story 3 - Ken and/or Barbie, Barbie Car & MrPH and/or MrsPH",518032549,ken | or barbie | barbie car | mrph | or mrsph,"Combination row naming characters that appear nowhere else under this licensor: ken, or barbie, barbie car, mrph, or mrsph",
Toy Story 3,"Toy Story 3 - Ken and/or Barbie, BarbieCar, ChatterPhon & MrPH and/or MrsPH",518032548,ken | or barbie | barbiecar | chatterphon | mrph | or mrsph,"Combination row naming characters that appear nowhere else under this licensor: ken, or barbie, barbiecar, chatterphon, mrph, or mrsph",
Toy Story 3,"Toy Story 3 - Ken and/or Barbie, Chatter Phone & MrPH and/or MrsPH",518032554,ken | or barbie | chatter phone | mrph | or mrsph,"Combination row naming characters that appear nowhere else under this licensor: ken, or barbie, chatter phone, mrph, or mrsph",
Toy Story 4,Toy Story 4 - Mr. & Mrs. Potato Head Alone,1159090812,mr | mrs potato head alone,"Combination row naming characters that appear nowhere else under this licensor: mr, mrs potato head alone",
Toy Story 4,Toy Story 4 - Mr. & Mrs. Potato Head with Others,1159093187,mr | mrs potato head with others,"Combination row naming characters that appear nowhere else under this licensor: mr, mrs potato head with others",
Tsum Tsum,Tsum Tsum - Chip & Dale with Red Nose and Antlers,518035223,chip | dale with red nose | antlers,"Combination row naming characters that appear nowhere else under this licensor: chip, dale with red nose, antlers",
Tsum Tsum,Tsum Tsum - Phineas & Ferb,518035219,phineas | ferb,"Combination row naming characters that appear nowhere else under this licensor: phineas, ferb",
Wizards of Waverly Place,"Wizards of Waverly Place - Alex, Justin & Max",518032254,alex | justin | max,"Combination row naming characters that appear nowhere else under this licensor: alex, justin, max",
"WWE Superstars, Divas, Legends & Logos","TLC: Tables, Ladders & Chairs",328,tlc tables | ladders | chairs,"Combination row naming characters that appear nowhere else under this licensor: tlc tables, ladders, chairs",
