styleGuide,characterName,sourceCharacterId,status,rules,identityName,propertyCode,propertyVia,reason
Adventure Time: Animated Series,Breakfast Princess,b81b68fb-c50d-4b7d-9491-0c0943611586,AUTO_RESOLVED,PRIMARY_ONLY,Breakfast Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Cake,d0af9aa5-99aa-48eb-bf9c-b542df89d290,AUTO_RESOLVED,PRIMARY_ONLY,Cake,,NEVER_DESIGNED,
Adventure Time: Animated Series,Candy Corn Citizen,7c402118-658f-4d10-bd9c-75abfb94142f,AUTO_RESOLVED,PRIMARY_ONLY,Candy Corn Citizen,,NEVER_DESIGNED,
Adventure Time: Animated Series,Candy People,302859fa-37e3-402d-9aed-b922cdb87c9c,AUTO_RESOLVED,PRIMARY_ONLY,Candy People,,NEVER_DESIGNED,
Adventure Time: Animated Series,Candy Person,9c332113-437e-4e9f-9c8c-bff88278142f,AUTO_RESOLVED,PRIMARY_ONLY,Candy Person,,NEVER_DESIGNED,
Adventure Time: Animated Series,Charlie,90b1a69d-57d9-4e16-8cbd-22947409e60d,AUTO_RESOLVED,PRIMARY_ONLY,Charlie,,NEVER_DESIGNED,
Adventure Time: Animated Series,Choose Goose,38128655-b92a-4fd1-8f75-a8cf3dba03d5,AUTO_RESOLVED,PRIMARY_ONLY,Choose Goose,,NEVER_DESIGNED,
Adventure Time: Animated Series,Cinammon Bun,5e905b3c-b42e-4859-92f0-2af943aaecec,AUTO_RESOLVED,PRIMARY_ONLY,Cinammon Bun,,NEVER_DESIGNED,
Adventure Time: Animated Series,Cosmic Owl,aa6b4820-ee35-48f2-9ad2-18c95a5839b0,AUTO_RESOLVED,PRIMARY_ONLY,Cosmic Owl,,NEVER_DESIGNED,
Adventure Time: Animated Series,Cotton Candy Princess,bfaff7ac-504d-47a4-83be-f243764aea78,AUTO_RESOLVED,PRIMARY_ONLY,Cotton Candy Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Cupcake Man,62dc2b4a-053c-4d3a-80c8-8e7d122331ae,AUTO_RESOLVED,PRIMARY_ONLY,Cupcake Man,,NEVER_DESIGNED,
Adventure Time: Animated Series,Death,bea3312f-c8d9-426c-9552-455560a5a3f6,AUTO_RESOLVED,PRIMARY_ONLY,Death,,NEVER_DESIGNED,
Adventure Time: Animated Series,Demon,4ec64f5b-97a4-48ba-a24a-88d1f0a0b4cb,AUTO_RESOLVED,PRIMARY_ONLY,Demon,,NEVER_DESIGNED,
Adventure Time: Animated Series,DNU-Cartoon Network Logo,ac5ac247-8c6c-41fe-ae8c-b3891ff8071b,NON_CHARACTER_EXCLUDED,DO_NOT_USE_LABEL,,,,"Guide name, logo, or ""general"" royalty label"
Adventure Time: Animated Series,DNU-Frederator Logo,fcd738ba-013f-4091-be59-2c341fe57de9,NON_CHARACTER_EXCLUDED,DO_NOT_USE_LABEL,,,,"Guide name, logo, or ""general"" royalty label"
Adventure Time: Animated Series,Donny,fd470d2e-76c1-4820-a2b5-56cb8809cebf,AUTO_RESOLVED,PRIMARY_ONLY,Donny,,NEVER_DESIGNED,
Adventure Time: Animated Series,Earl of Lemongrab,83a1c22d-c35a-4c89-83cf-f99af3d69493,AUTO_RESOLVED,PRIMARY_ONLY,Earl of Lemongrab,,NEVER_DESIGNED,
Adventure Time: Animated Series,Elbow Princess,55a9a484-b8f0-4177-96b2-f6a65ca97c0a,AUTO_RESOLVED,PRIMARY_ONLY,Elbow Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Engagement Ring Princess,7fe16ccd-7146-43e9-a832-deb1f3beced6,AUTO_RESOLVED,PRIMARY_ONLY,Engagement Ring Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Finn,496a560e-1100-4b6d-8329-e0d1c59baa4b,AUTO_RESOLVED,PRIMARY_ONLY,Finn,,NEVER_DESIGNED,
Adventure Time: Animated Series,Fionna,6018b0c6-b532-4d06-8b9f-cfebec5def95,AUTO_RESOLVED,PRIMARY_ONLY,Fionna,,NEVER_DESIGNED,
Adventure Time: Animated Series,Flame Princess,b2ead36c-45c1-47df-964f-a9449ec4284f,AUTO_RESOLVED,PRIMARY_ONLY,Flame Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Frog,6eb515bb-ca3f-41cd-a138-4ce9139d6912,AUTO_RESOLVED,PRIMARY_ONLY,Frog,,NEVER_DESIGNED,
Adventure Time: Animated Series,Ghost Princess,83d94176-eef3-43a8-8971-7fbf64ee14fb,AUTO_RESOLVED,PRIMARY_ONLY,Ghost Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Gumball Guardian,7a1622bb-d7cc-407e-8711-6d7b7339dd89,AUTO_RESOLVED,PRIMARY_ONLY,Gumball Guardian,,NEVER_DESIGNED,
Adventure Time: Animated Series,Gunter,506ce100-30cb-49d0-931a-54488dc08582,AUTO_RESOLVED,PRIMARY_ONLY,Gunter,,NEVER_DESIGNED,
Adventure Time: Animated Series,Hot Dog Princess,d1a2ba15-c58f-4c3a-8c78-4fdbc3e1dc76,AUTO_RESOLVED,PRIMARY_ONLY,Hot Dog Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Hunson Abadeer,465d1e59-ce7b-4617-944f-ec9b99b2f9a8,AUTO_RESOLVED,PRIMARY_ONLY,Hunson Abadeer,,NEVER_DESIGNED,
Adventure Time: Animated Series,Ice King,8eeb7a5d-9942-4f4a-9ba4-d189fa8dcd70,AUTO_RESOLVED,PRIMARY_ONLY,Ice King,,NEVER_DESIGNED,
Adventure Time: Animated Series,Ice Queen,5d38bf55-c88a-4d3c-8ebd-2fdd1cdece2b,AUTO_RESOLVED,PRIMARY_ONLY,Ice Queen,,NEVER_DESIGNED,
Adventure Time: Animated Series,Jake,6469f1ae-29e7-4ce9-b9b8-a9afd057d039,AUTO_RESOLVED,PRIMARY_ONLY,Jake,,NEVER_DESIGNED,
Adventure Time: Animated Series,Jake Jr,5b803fc1-c125-49ac-ad18-9943159d3ec4,AUTO_RESOLVED,PRIMARY_ONLY,Jake Jr,,NEVER_DESIGNED,
Adventure Time: Animated Series,James Baxter,22f43bb6-0992-4bd9-9020-f62c917896ff,AUTO_RESOLVED,PRIMARY_ONLY,James Baxter,,NEVER_DESIGNED,
Adventure Time: Animated Series,Jermaine,55c1f141-297e-43e0-8f3c-6cdb55044ff6,AUTO_RESOLVED,PRIMARY_ONLY,Jermaine,,NEVER_DESIGNED,
Adventure Time: Animated Series,Jigglers,459ef2a5-efc5-4a6d-a71e-dbdc56aa92a4,AUTO_RESOLVED,PRIMARY_ONLY,Jigglers,,NEVER_DESIGNED,
Adventure Time: Animated Series,Jungle Princess,a8ab5563-fd2d-4abf-90d0-041ebc805665,AUTO_RESOLVED,PRIMARY_ONLY,Jungle Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Kee Oth,b3190ef3-0e13-4a6b-991d-7677970826b6,AUTO_RESOLVED,PRIMARY_ONLY,Kee Oth,,NEVER_DESIGNED,
Adventure Time: Animated Series,Kim Kil Whan,4143cd03-68ef-4167-8f61-7af8b00895c9,AUTO_RESOLVED,PRIMARY_ONLY,Kim Kil Whan,,NEVER_DESIGNED,
Adventure Time: Animated Series,King Worm,098ef301-9917-4f9b-a7a6-9d83d36fe064,AUTO_RESOLVED,PRIMARY_ONLY,King Worm,,NEVER_DESIGNED,
Adventure Time: Animated Series,Lady Rainicorn,a69de80b-24be-4b0b-87ba-24d887a01dbb,AUTO_RESOLVED,PRIMARY_ONLY,Lady Rainicorn,,NEVER_DESIGNED,
Adventure Time: Animated Series,Lemongrab 2,f67911a4-7982-4cbb-a351-4d199e818038,AUTO_RESOLVED,PRIMARY_ONLY,Lemongrab 2,,NEVER_DESIGNED,
Adventure Time: Animated Series,Lich,cf6624dc-4e47-40c3-baa6-a2d5cfb9372a,AUTO_RESOLVED,PRIMARY_ONLY,Lich,,NEVER_DESIGNED,
Adventure Time: Animated Series,Lord Monochromicorn,e75271bc-cc9b-41e4-9dde-6663f60b31d0,AUTO_RESOLVED,PRIMARY_ONLY,Lord Monochromicorn,,NEVER_DESIGNED,
Adventure Time: Animated Series,Lumpy Space Prince,98736292-477f-4022-b904-72b4e325ec9a,AUTO_RESOLVED,PRIMARY_ONLY,Lumpy Space Prince,,NEVER_DESIGNED,
Adventure Time: Animated Series,Magic Man,dc4776f3-736d-48f9-b3d8-ae116dd56364,AUTO_RESOLVED,PRIMARY_ONLY,Magic Man,,NEVER_DESIGNED,
Adventure Time: Animated Series,Marceline the Vampire Queen,033a1cb5-681e-4dd4-a85b-3278a5724f2b,AUTO_RESOLVED,PRIMARY_ONLY,Marceline the Vampire Queen,,NEVER_DESIGNED,
Adventure Time: Animated Series,Marshall Lee,a106bfe9-5398-4989-baa6-b39c5f7d715a,AUTO_RESOLVED,PRIMARY_ONLY,Marshall Lee,,NEVER_DESIGNED,
Adventure Time: Animated Series,Me-Mow,95ff3e4c-908a-4e1e-a1e2-75aaa98c6c1f,AUTO_RESOLVED,PRIMARY_ONLY,Me-Mow,,NEVER_DESIGNED,
Adventure Time: Animated Series,Mini Queen,a8417c27-fcfc-41ab-89f4-39d76e1847d2,AUTO_RESOLVED,PRIMARY_ONLY,Mini Queen,,NEVER_DESIGNED,
Adventure Time: Animated Series,Mister Pig,0255b3fe-6bba-484f-bf08-08b883a52597,AUTO_RESOLVED,PRIMARY_ONLY,Mister Pig,,NEVER_DESIGNED,
Adventure Time: Animated Series,Muscle Princess,cd7294cb-e6a0-40a5-b898-a21f6bcfd777,AUTO_RESOLVED,PRIMARY_ONLY,Muscle Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Neptr,e7bafafb-4666-47b1-ae3e-8e440ad99dd8,AUTO_RESOLVED,PRIMARY_ONLY,Neptr,,NEVER_DESIGNED,
Adventure Time: Animated Series,Niran,12762460-b08d-4b21-affc-c37cdc499a76,AUTO_RESOLVED,PRIMARY_ONLY,Niran,,NEVER_DESIGNED,
Adventure Time: Animated Series,No Reportable Elements,c9bfb0df-c0cc-4bdd-bb50-92553b519921,SENTINEL_EXCLUDED,SENTINEL,,,,Royalty reporting sentinel (model doc §2.3)
Adventure Time: Animated Series,Orange Princess,845eb124-0565-4c4c-998b-61eb3dec32ce,AUTO_RESOLVED,PRIMARY_ONLY,Orange Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Party Bear,f496d5e1-de02-496f-adf9-a59bef07ee74,AUTO_RESOLVED,PRIMARY_ONLY,Party Bear,,NEVER_DESIGNED,
Adventure Time: Animated Series,Party God,1c53fa83-b3be-4b8d-9a8a-34c2900bd39e,AUTO_RESOLVED,PRIMARY_ONLY,Party God,,NEVER_DESIGNED,
Adventure Time: Animated Series,Party Pat,69a0f3c4-dad8-41d0-a09e-79fd345497d7,AUTO_RESOLVED,PRIMARY_ONLY,Party Pat,,NEVER_DESIGNED,
Adventure Time: Animated Series,Peanut Princess,8fba6eb3-8db3-466a-8e22-584c01fca560,AUTO_RESOLVED,PRIMARY_ONLY,Peanut Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Penguins,de2d0735-8ea1-4377-a34c-4e06e493ef93,AUTO_RESOLVED,PRIMARY_ONLY,Penguins,,NEVER_DESIGNED,
Adventure Time: Animated Series,Peppermint Butler,5547dcb6-10f9-4a11-80b7-f58a53b5243b,AUTO_RESOLVED,PRIMARY_ONLY,Peppermint Butler,,NEVER_DESIGNED,
Adventure Time: Animated Series,Pincer Beetle,9b852ed1-fe9d-48a1-9f5f-07c804737fe1,AUTO_RESOLVED,PRIMARY_ONLY,Pincer Beetle,,NEVER_DESIGNED,
Adventure Time: Animated Series,Prince Gumball,fcc07b5b-840a-4020-8389-3d569f675ce5,AUTO_RESOLVED,PRIMARY_ONLY,Prince Gumball,,NEVER_DESIGNED,
Adventure Time: Animated Series,Princess Bubblegum,9b43b370-2877-48a7-9365-83ba41582735,AUTO_RESOLVED,PRIMARY_ONLY,Princess Bubblegum,,NEVER_DESIGNED,
Adventure Time: Animated Series,Princess Cookie,0d62648a-70b4-463e-bf77-93522f9349da,AUTO_RESOLVED,PRIMARY_ONLY,Princess Cookie,,NEVER_DESIGNED,
Adventure Time: Animated Series,Princess Princess Princess,59094748-ffdb-41f5-93f6-7d6556e1ed83,AUTO_RESOLVED,PRIMARY_ONLY,Princess Princess Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Prismo,ea0104de-f6ed-4ac1-8e3c-270f355973e9,AUTO_RESOLVED,PRIMARY_ONLY,Prismo,,NEVER_DESIGNED,
Adventure Time: Animated Series,Purple Princess,440087a8-753a-46d4-a0f7-341af2b5d470,AUTO_RESOLVED,PRIMARY_ONLY,Purple Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Ricardio,5cb179e5-e67a-4c70-8759-dbe7e96b22b0,AUTO_RESOLVED,PRIMARY_ONLY,Ricardio,,NEVER_DESIGNED,
Adventure Time: Animated Series,Shelby,2f16515e-1f28-4f0c-a473-5f71545f6d2c,AUTO_RESOLVED,PRIMARY_ONLY,Shelby,,NEVER_DESIGNED,
Adventure Time: Animated Series,Simon,735ec4b9-4e13-42a0-adc9-bf9eeed8a218,AUTO_RESOLVED,PRIMARY_ONLY,Simon,,NEVER_DESIGNED,
Adventure Time: Animated Series,Skeleton Butterfly,33626ec8-a532-40bd-8c8b-50334fbd4df7,AUTO_RESOLVED,PRIMARY_ONLY,Skeleton Butterfly,,NEVER_DESIGNED,
Adventure Time: Animated Series,Skeleton Princess,466cde63-f3ad-4b1f-9995-c8fe2a3ec1da,AUTO_RESOLVED,PRIMARY_ONLY,Skeleton Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Slime Princess,c3b6c024-5a3a-4744-a2ce-732263817b98,AUTO_RESOLVED,PRIMARY_ONLY,Slime Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Snail,888216ec-2e8b-40d4-9e7c-64538e4b5452,AUTO_RESOLVED,PRIMARY_ONLY,Snail,,NEVER_DESIGNED,
Adventure Time: Animated Series,Space Angel Princess,b1306a3e-cac3-4aab-8f01-8bb27c324d8b,AUTO_RESOLVED,PRIMARY_ONLY,Space Angel Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Starchy,b3cdd69b-7e09-4020-a117-8f7ca9b0ceb2,AUTO_RESOLVED,PRIMARY_ONLY,Starchy,,NEVER_DESIGNED,
Adventure Time: Animated Series,Susan Strong,55fffe71-094c-4cb6-ab16-c44d851b4abc,AUTO_RESOLVED,PRIMARY_ONLY,Susan Strong,,NEVER_DESIGNED,
Adventure Time: Animated Series,T.V.,c00eaa69-47cd-4119-904d-5a39be636ba3,AUTO_RESOLVED,PRIMARY_ONLY,T.V.,,NEVER_DESIGNED,
Adventure Time: Animated Series,Toast Princess,b8c3537e-c205-4eea-b0d0-0194d874cb4f,AUTO_RESOLVED,PRIMARY_ONLY,Toast Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Tree Trunks,a1dc8554-4019-4068-9a7b-53f9307282f5,AUTO_RESOLVED,PRIMARY_ONLY,Tree Trunks,,NEVER_DESIGNED,
Adventure Time: Animated Series,Turtle Princess,d12d5fe4-746c-4567-827c-6ab4fff32e60,AUTO_RESOLVED,PRIMARY_ONLY,Turtle Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Two Headed Duck,956e63c4-a618-47fe-8b17-0b2fef9cc5b9,AUTO_RESOLVED,PRIMARY_ONLY,Two Headed Duck,,NEVER_DESIGNED,
Adventure Time: Animated Series,Viola,a495c535-5e79-4441-a175-bcf71f5ea184,AUTO_RESOLVED,PRIMARY_ONLY,Viola,,NEVER_DESIGNED,
Adventure Time: Animated Series,Warrior Princess,1e72d407-6741-4451-84ae-7f7178270b86,AUTO_RESOLVED,PRIMARY_ONLY,Warrior Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Wildberry Princess,e9d83406-9725-4c01-867b-71cd494b7a47,AUTO_RESOLVED,PRIMARY_ONLY,Wildberry Princess,,NEVER_DESIGNED,
Adventure Time: Animated Series,Worm,5d3fac21-a863-4b51-b7aa-18babaf4db55,AUTO_RESOLVED,PRIMARY_ONLY,Worm,,NEVER_DESIGNED,
Aladdin (2019),"Aladdin (2019) - General (No Name, Likeness Or Voice Royalty)",1159076551,NON_CHARACTER_EXCLUDED,GENERAL_ROYALTY_LABEL,,,,"Guide name, logo, or ""general"" royalty label"
Aladdin (2019),Aladdin (2019) - W Smith (Genie),1159087111,AUTO_RESOLVED,STRIP_TITLE_YEAR+PRIMARY_ONLY,Aladdin - W Smith (Genie),AD,STYLE_GUIDE_CODE,
Alice In Wonderland,Alice In Wonderland,259,NON_CHARACTER_EXCLUDED,SELF_NAMED_GUIDE,,,,"Guide name, logo, or ""general"" royalty label"
Annabelle (2014),No Reportable Elements,f1eb06e5-4cff-4784-bf6a-583d80334528,SENTINEL_EXCLUDED,SENTINEL,,,,Royalty reporting sentinel (model doc §2.3)
Annabelle Comes Home (2019),Bride (non-likeness),f70e9055-27d0-4642-b49c-073e140aa1c8,AUTO_RESOLVED,STRIP_LIKENESS+PRIMARY_ONLY,Bride,A9,STYLE_GUIDE_CODE,
Annabelle Comes Home (2019),Demon (non-likeness),11b3daf8-d8d7-4834-9a2c-24a71a2dce5f,AUTO_RESOLVED,STRIP_LIKENESS+PRIMARY_ONLY,Demon,A9,STYLE_GUIDE_CODE,
Annabelle Comes Home (2019),Ferryman (non-likeness),ba2132e2-af4f-486c-aec2-ca457ee65f0a,AUTO_RESOLVED,STRIP_LIKENESS+PRIMARY_ONLY,Ferryman,A9,STYLE_GUIDE_CODE,
Annabelle Comes Home (2019),Judy as portrayed by Mckenna Grace,3fb9bcf2-0d0e-4f03-a9be-b56b94b9495c,AUTO_RESOLVED,STRIP_PORTRAYAL+PRIMARY_ONLY,Judy,A9,STYLE_GUIDE_CODE,
Annabelle Comes Home (2019),No Reportable Elements,b50eb75d-f381-47b2-b610-b8ffa7788a9d,SENTINEL_EXCLUDED,SENTINEL,,,,Royalty reporting sentinel (model doc §2.3)
Annabelle: Creation (2017),Linda as portrayed by Lulu Wilson,1278256e-af84-4e4b-9bae-43ed0551d141,AUTO_RESOLVED,STRIP_PORTRAYAL+PRIMARY_ONLY,Linda,A7,STYLE_GUIDE_CODE,
Annabelle: Creation (2017),No Reportable Elements,f9f01c02-f07c-4d85-8f05-ce9c405e5d7d,SENTINEL_EXCLUDED,SENTINEL,,,,Royalty reporting sentinel (model doc §2.3)
Aquaman (2018),Aquaman (non talent likeness),b12b326f-0152-4359-88fd-ddb51169dee6,AUTO_RESOLVED,STRIP_LIKENESS+BARE_PRIMARY_KEPT,Aquaman,AQ,STYLE_GUIDE_CODE,
Aquaman (2018),Atlanna as portrayed by Nicole Kidman,357dda75-8ba7-427a-bd97-8b2e4a4bb8b0,AUTO_RESOLVED,STRIP_PORTRAYAL+PRIMARY_ONLY,Atlanna,AQ,STYLE_GUIDE_CODE,
Aquaman (2018),Atlantean Soldier (non-likeness),b1f1b9ed-ebdb-4c0a-9118-226d90de1b87,AUTO_RESOLVED,STRIP_LIKENESS+PRIMARY_ONLY,Atlantean Soldier,AQ,STYLE_GUIDE_CODE,
Aquaman (2018),Black Manta (non talent likeness),461d44ec-eb8e-4408-a5d6-2b677fc45fa4,AUTO_RESOLVED,STRIP_LIKENESS+PRIMARY_ONLY,Black Manta,AQ,STYLE_GUIDE_CODE,
Aquaman (2018),Brine King (non-likeness),e242b57d-981c-4770-8934-b72f537e1b23,AUTO_RESOLVED,STRIP_LIKENESS+PRIMARY_ONLY,Brine King,AQ,STYLE_GUIDE_CODE,
Aquaman (2018),David Kane/Black Manta as portrayed by Yahya Abdul-Mateen II,5aa553ed-247f-4d93-a595-ba177a8363a9,AUTO_RESOLVED,STRIP_PORTRAYAL+SPLIT_SLASH_ALIAS+SPLIT_AKA+ALIAS_UNIQUE_MERGED,David Kane,AQ,STYLE_GUIDE_CODE,
Aquaman (2018),King Nereus (non-likeness),6852c5f7-3229-4690-9c5d-6978720198f2,AUTO_RESOLVED,STRIP_LIKENESS+PRIMARY_ONLY,King Nereus,AQ,STYLE_GUIDE_CODE,
Aquaman (2018),King Nereus as portrayed by Dolph Lundgren,b64427d2-f568-4827-939f-512adfc5c0fe,AUTO_RESOLVED,STRIP_PORTRAYAL+PRIMARY_ONLY,King Nereus,AQ,STYLE_GUIDE_CODE,
Aquaman (2018),Mera (non-likeness),dab717d6-b3cf-4c50-a3ba-6885fe4d168c,AUTO_RESOLVED,STRIP_LIKENESS+PRIMARY_ONLY,Mera,AQ,STYLE_GUIDE_CODE,
Aquaman (2018),Mera as portrayed by Amber Heard,e237ec0a-399d-48d9-9a63-b7071998150c,AUTO_RESOLVED,STRIP_PORTRAYAL+PRIMARY_ONLY,Mera,AQ,STYLE_GUIDE_CODE,
Aquaman (2018),MP/Aquaman/Arthur Curry as portrayed by Jason Momoa,e338896f-73a6-4109-9461-7e2c36895286,AUTO_RESOLVED,STRIP_PORTRAYAL+SPLIT_SLASH_ALIAS+SPLIT_AKA+ALIAS_UNIQUE_MERGED,MP,AQ,STYLE_GUIDE_CODE,
Aquaman (2018),No Reportable Elements,02b47d08-1479-4fb8-a67e-42aafe3ae959,SENTINEL_EXCLUDED,SENTINEL,,,,Royalty reporting sentinel (model doc §2.3)
Aquaman (2018),Ocean Master (non talent likeness),cb7a4c36-1610-4cdc-99bf-1a34fb967345,AUTO_RESOLVED,STRIP_LIKENESS+PRIMARY_ONLY,Ocean Master,AQ,STYLE_GUIDE_CODE,
Aquaman (2018),ORM (non-likeness),29d4393c-0381-4aee-ba3e-5ea38b1e3663,AUTO_RESOLVED,STRIP_LIKENESS+PRIMARY_ONLY,ORM,AQ,STYLE_GUIDE_CODE,
Aquaman (2018),ORM/Ocean Master as portrayed by Patrick Wilson,fc989a18-b0b3-4c74-b132-6f2084348d7e,AUTO_RESOLVED,STRIP_PORTRAYAL+SPLIT_SLASH_ALIAS+SPLIT_AKA+ALIAS_UNIQUE_MERGED,ORM,AQ,STYLE_GUIDE_CODE,
Aquaman (2018),Queen Rina (non-likeness),7bfcc81a-7975-4596-9dca-fd99ee4d0aea,AUTO_RESOLVED,STRIP_LIKENESS+PRIMARY_ONLY,Queen Rina,AQ,STYLE_GUIDE_CODE,
Aquaman (2018),Tom Curry as portrayed by Temuera Morrison,ee527efb-7ed6-41a4-9573-111ce821f3f3,AUTO_RESOLVED,STRIP_PORTRAYAL+PRIMARY_ONLY,Tom Curry,AQ,STYLE_GUIDE_CODE,
Aquaman (2018),Trench King (non-talent likeness),1e838e67-c801-445d-bc21-aac876b88b38,AUTO_RESOLVED,STRIP_LIKENESS+PRIMARY_ONLY,Trench King,AQ,STYLE_GUIDE_CODE,
Aquaman (2018),Vulko (non-talent likeness),e80e2092-392d-44a5-a9be-c1b13672ca2b,AUTO_RESOLVED,STRIP_LIKENESS+PRIMARY_ONLY,Vulko,AQ,STYLE_GUIDE_CODE,
Aquaman (2018),Vulko as portrayed by Willem Dafoe,249fdd3f-9e17-4891-8927-41dc895f9090,AUTO_RESOLVED,STRIP_PORTRAYAL+PRIMARY_ONLY,Vulko,AQ,STYLE_GUIDE_CODE,
Aquaman (2018),Young Arthur (13 years old) as portrayed by Otis Dhanji,986c1c57-c389-4a81-87a6-dcad6b2a098f,AUTO_RESOLVED,STRIP_PORTRAYAL+PRIMARY_ONLY,Young Arthur (13 years old),AQ,STYLE_GUIDE_CODE,
Aquaman (2018),Young Arthur (9 years old) as portrayed by Kaan Guldur,bf852edb-c7b2-4e6c-a70a-44508eb8fdee,AUTO_RESOLVED,STRIP_PORTRAYAL+PRIMARY_ONLY,Young Arthur (9 years old),AQ,STYLE_GUIDE_CODE,
Aquaman and the Lost Kingdom (2023),Aquaman aka Arthur Curry as portrayed by Jason Momoa,a50a330a-99a0-49a7-932a-35ac3377a0f1,AUTO_RESOLVED,STRIP_PORTRAYAL+SPLIT_AKA+ALIAS_DISAMBIGUATED,Aquaman aka Arthur Curry,AQ,STYLE_GUIDE_CODE,
Aquaman and the Lost Kingdom (2023),Atlanna as portrayed by Nicole Kidman,7b93ae42-702e-4a40-8ab3-7a2400c2c31b,AUTO_RESOLVED,STRIP_PORTRAYAL+PRIMARY_ONLY,Atlanna,AQ,STYLE_GUIDE_CODE,
Aquaman and the Lost Kingdom (2023),Black Manta aka David Kane as portrayed by Yahya Abdul-Mateen,a2fcb5de-e26e-472b-897f-d9b2e8f59a2b,AUTO_RESOLVED,STRIP_PORTRAYAL+SPLIT_AKA+ALIAS_UNIQUE_MERGED,Black Manta,AQ,STYLE_GUIDE_CODE,
Aquaman and the Lost Kingdom (2023),Doctor Stephen Shin as portrayed by Randall Park,dad014e5-efdb-46e5-95f6-b53018b886f9,AUTO_RESOLVED,STRIP_PORTRAYAL+PRIMARY_ONLY,Doctor Stephen Shin,AQ,STYLE_GUIDE_CODE,
Aquaman and the Lost Kingdom (2023),Kashon as portrayed by Indya Moore,f23a0460-6005-4759-8982-3b8d11e84f01,AUTO_RESOLVED,STRIP_PORTRAYAL+PRIMARY_ONLY,Kashon,AQ,STYLE_GUIDE_CODE,
Aquaman and the Lost Kingdom (2023),King Nereus as portrayed by Dolph Lundgren,f55cac63-a54d-4533-94e7-97beb5334d8b,AUTO_RESOLVED,STRIP_PORTRAYAL+PRIMARY_ONLY,King Nereus,AQ,STYLE_GUIDE_CODE,
