"row_scope","entity_type","company_code","division_code","mg_type_code","mg_code","source_name","phase2_category","candidate_canonical_id","candidate_code","candidate_name","candidate_status","canonical_id","canonical_code","canonical_name","canonical_status","disposition","decision_status","phase4_action","named_owner","rationale","phase4_blocks","lifecycle_note"
"canonical_only","licensor","","","","","","canonical-only curated/legacy record","","","","","b21801ce-9e2b-49bc-9ef7-b5697d48136d","X-NFL","NFL","potential","canonical_only_preserve","pending_human","no_link","Albert Hazan (canonical-only review)","Canonical row with no ColdLion source (provenance-free PopSG 'X-' backfill or curated/legacy record). Preserve UUID/status/parent exactly; ColdLion absence never deletes or inactivates.","none (preserve as-is)","canonical status 'potential' (non-active lifecycle) preserved exactly"
"canonical_only","licensor","","","","","","canonical-only curated/legacy record","","","","","d5854d24-8477-42ea-a090-18ed3275879a","X-ANHEUSERBUSCH","Anheuser Busch","potential","canonical_only_preserve","pending_human","no_link","Albert Hazan (canonical-only review)","Canonical row with no ColdLion source (provenance-free PopSG 'X-' backfill or curated/legacy record). Preserve UUID/status/parent exactly; ColdLion absence never deletes or inactivates.","none (preserve as-is)","canonical status 'potential' (non-active lifecycle) preserved exactly"
"coldlion_source","property","EDGEHOME","CW001","06","55","SHREK 5","ColdLion-only candidate","","","","","","","","","coldlion_only_new_candidate","pending_human","create_phase5_if_approved","Albert Hazan (new-property create + parent)","ColdLion-only PROPERTY with no canonical candidate (also absent from the 2026-07-25 DesignFlow snapshot). Mirror faithfully; no link in Phase 4. Phase 5 may create a canonical property ONLY if Albert approves AND an approved licensor_id parent is assigned first (core.property.licensor_id is NOT NULL; properties require an approved parent before visibility).","Phase 4 link (none). Phase 5 create + parent decision.",""
"coldlion_source","property","EDGEHOME","CW001","06","75","PEANUTS 75TH ANNIVERSARY","ColdLion-only candidate","","","","","","","","","coldlion_only_new_candidate","pending_human","create_phase5_if_approved","Albert Hazan (new-property create + parent)","ColdLion-only PROPERTY with no canonical candidate (also absent from the 2026-07-25 DesignFlow snapshot). Mirror faithfully; no link in Phase 4. Phase 5 may create a canonical property ONLY if Albert approves AND an approved licensor_id parent is assigned first (core.property.licensor_id is NOT NULL; properties require an approved parent before visibility).","Phase 4 link (none). Phase 5 create + parent decision.",""
"coldlion_source","property","EDGEHOME","CW001","06","CHR","CHEERS","ColdLion-only candidate","","","","","","","","","coldlion_only_new_candidate","pending_human","create_phase5_if_approved","Albert Hazan (new-property create + parent)","ColdLion-only PROPERTY with no canonical candidate (also absent from the 2026-07-25 DesignFlow snapshot). Mirror faithfully; no link in Phase 4. Phase 5 may create a canonical property ONLY if Albert approves AND an approved licensor_id parent is assigned first (core.property.licensor_id is NOT NULL; properties require an approved parent before visibility).","Phase 4 link (none). Phase 5 create + parent decision.",""
"coldlion_source","property","EDGEHOME","CW001","06","EX","THE EXORCIST","ColdLion-only candidate","","","","","","","","","coldlion_only_new_candidate","pending_human","create_phase5_if_approved","Albert Hazan (new-property create + parent)","ColdLion-only PROPERTY with no canonical candidate (also absent from the 2026-07-25 DesignFlow snapshot). Mirror faithfully; no link in Phase 4. Phase 5 may create a canonical property ONLY if Albert approves AND an approved licensor_id parent is assigned first (core.property.licensor_id is NOT NULL; properties require an approved parent before visibility).","Phase 4 link (none). Phase 5 create + parent decision.",""
"coldlion_source","property","EDGEHOME","CW001","06","LB","THE LOST BOYS","ColdLion-only candidate","","","","","","","","","coldlion_only_new_candidate","pending_human","create_phase5_if_approved","Albert Hazan (new-property create + parent)","ColdLion-only PROPERTY with no canonical candidate (also absent from the 2026-07-25 DesignFlow snapshot). Mirror faithfully; no link in Phase 4. Phase 5 may create a canonical property ONLY if Albert approves AND an approved licensor_id parent is assigned first (core.property.licensor_id is NOT NULL; properties require an approved parent before visibility).","Phase 4 link (none). Phase 5 create + parent decision.",""
"coldlion_source","property","EDGEHOME","CW001","06","SGT","SUPERGIRL THEATRICAL 2026","ColdLion-only candidate","","","","","","","","","coldlion_only_new_candidate","pending_human","create_phase5_if_approved","Albert Hazan (new-property create + parent)","ColdLion-only PROPERTY with no canonical candidate (also absent from the 2026-07-25 DesignFlow snapshot). Mirror faithfully; no link in Phase 4. Phase 5 may create a canonical property ONLY if Albert approves AND an approved licensor_id parent is assigned first (core.property.licensor_id is NOT NULL; properties require an approved parent before visibility).","Phase 4 link (none). Phase 5 create + parent decision.",""
"coldlion_source","property","EDGEHOME","SP001","06","55","SHREK 5","ColdLion-only candidate","","","","","","","","","coldlion_only_new_candidate","pending_human","create_phase5_if_approved","Albert Hazan (new-property create + parent)","ColdLion-only PROPERTY with no canonical candidate (also absent from the 2026-07-25 DesignFlow snapshot). Mirror faithfully; no link in Phase 4. Phase 5 may create a canonical property ONLY if Albert approves AND an approved licensor_id parent is assigned first (core.property.licensor_id is NOT NULL; properties require an approved parent before visibility).","Phase 4 link (none). Phase 5 create + parent decision.",""
"coldlion_source","property","EDGEHOME","SP001","06","75","PEANUTS 75TH ANNIVERSARY","ColdLion-only candidate","","","","","","","","","coldlion_only_new_candidate","pending_human","create_phase5_if_approved","Albert Hazan (new-property create + parent)","ColdLion-only PROPERTY with no canonical candidate (also absent from the 2026-07-25 DesignFlow snapshot). Mirror faithfully; no link in Phase 4. Phase 5 may create a canonical property ONLY if Albert approves AND an approved licensor_id parent is assigned first (core.property.licensor_id is NOT NULL; properties require an approved parent before visibility).","Phase 4 link (none). Phase 5 create + parent decision.",""
"coldlion_source","property","EDGEHOME","SP001","06","CHR","CHEERS","ColdLion-only candidate","","","","","","","","","coldlion_only_new_candidate","pending_human","create_phase5_if_approved","Albert Hazan (new-property create + parent)","ColdLion-only PROPERTY with no canonical candidate (also absent from the 2026-07-25 DesignFlow snapshot). Mirror faithfully; no link in Phase 4. Phase 5 may create a canonical property ONLY if Albert approves AND an approved licensor_id parent is assigned first (core.property.licensor_id is NOT NULL; properties require an approved parent before visibility).","Phase 4 link (none). Phase 5 create + parent decision.",""
"coldlion_source","property","EDGEHOME","SP001","06","EX","THE EXORCIST","ColdLion-only candidate","","","","","","","","","coldlion_only_new_candidate","pending_human","create_phase5_if_approved","Albert Hazan (new-property create + parent)","ColdLion-only PROPERTY with no canonical candidate (also absent from the 2026-07-25 DesignFlow snapshot). Mirror faithfully; no link in Phase 4. Phase 5 may create a canonical property ONLY if Albert approves AND an approved licensor_id parent is assigned first (core.property.licensor_id is NOT NULL; properties require an approved parent before visibility).","Phase 4 link (none). Phase 5 create + parent decision.",""
"coldlion_source","property","EDGEHOME","SP001","06","LB","THE LOST BOYS","ColdLion-only candidate","","","","","","","","","coldlion_only_new_candidate","pending_human","create_phase5_if_approved","Albert Hazan (new-property create + parent)","ColdLion-only PROPERTY with no canonical candidate (also absent from the 2026-07-25 DesignFlow snapshot). Mirror faithfully; no link in Phase 4. Phase 5 may create a canonical property ONLY if Albert approves AND an approved licensor_id parent is assigned first (core.property.licensor_id is NOT NULL; properties require an approved parent before visibility).","Phase 4 link (none). Phase 5 create + parent decision.",""
"coldlion_source","property","EDGEHOME","SP001","06","SGT","SUPERGIRL THEATRICAL 2026","ColdLion-only candidate","","","","","","","","","coldlion_only_new_candidate","pending_human","create_phase5_if_approved","Albert Hazan (new-property create + parent)","ColdLion-only PROPERTY with no canonical candidate (also absent from the 2026-07-25 DesignFlow snapshot). Mirror faithfully; no link in Phase 4. Phase 5 may create a canonical property ONLY if Albert approves AND an approved licensor_id parent is assigned first (core.property.licensor_id is NOT NULL; properties require an approved parent before visibility).","Phase 4 link (none). Phase 5 create + parent decision.",""
"canonical_only","property","","","","","","canonical-only curated/legacy record","","","","","0c1fc67f-9e9c-4811-8d4c-5e5a0abda596","ADT","ADVENTURE TIME","active","canonical_only_preserve","pending_human","no_link","Albert Hazan (canonical-only review)","Canonical row with no ColdLion source (provenance-free PopSG 'X-' backfill or curated/legacy record). Preserve UUID/status/parent exactly; ColdLion absence never deletes or inactivates.","none (preserve as-is)",""
"canonical_only","property","","","","","","canonical-only curated/legacy record","","","","","72e026f2-e0ca-4fe8-b96d-4090519e47c6","SFS","SMILING FRIENDS","active","canonical_only_preserve","pending_human","no_link","Albert Hazan (canonical-only review)","Canonical row with no ColdLion source (provenance-free PopSG 'X-' backfill or curated/legacy record). Preserve UUID/status/parent exactly; ColdLion absence never deletes or inactivates.","none (preserve as-is)",""
"canonical_only","property","","","","","","canonical-only curated/legacy record","","","","","7bdd3e50-e0bb-470e-9479-28f2ace5fe88","OGW","OVER THE GARDEN WALL","active","canonical_only_preserve","pending_human","no_link","Albert Hazan (canonical-only review)","Canonical row with no ColdLion source (provenance-free PopSG 'X-' backfill or curated/legacy record). Preserve UUID/status/parent exactly; ColdLion absence never deletes or inactivates.","none (preserve as-is)",""
"canonical_only","property","","","","","","canonical-only curated/legacy record","","","","","9e37d341-ecaf-42ae-b990-788d8c02e72e","RS","REGULAR SHOW","active","canonical_only_preserve","pending_human","no_link","Albert Hazan (canonical-only review)","Canonical row with no ColdLion source (provenance-free PopSG 'X-' backfill or curated/legacy record). Preserve UUID/status/parent exactly; ColdLion absence never deletes or inactivates.","none (preserve as-is)",""
