"row_scope","entity_type","company_code","division_code","mg_type_code","mg_code","source_name","phase2_category","candidate_canonical_id","candidate_code","candidate_name","candidate_status","preserve_canonical_status","blocking_review","evidence","source_hash","last_sync_run_id","canonical_id","canonical_code","canonical_name","canonical_status","disposition","decision_status","phase4_action","named_owner","rationale","phase4_blocks","lifecycle_note"
"coldlion_source","licensor","EDGEHOME","CW001","05","NB","NBC","exact compatible code match","154bf54b-6f7d-4999-b0fb-c2828b12b56a","NB","NBC","active","yes","no","code and normalized name agree","296a32ee3da081e332bd966bbefc5dbb","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","CW001","05","PN","PEANUTS WORLDWIDE","exact compatible code match","afff41a6-df31-4a9a-aea5-b919d1daff54","PN","PEANUTS WORLDWIDE","active","yes","no","code and normalized name agree","b6dac276b1eab1b85ccea654f98dec30","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","CW001","05","PP","PAW PATROL","exact compatible code match","a03fff4b-65f4-4fd6-98ad-c9db3216b140","PP","PAW PATROL","active","yes","no","code and normalized name agree","831dd2c7a1e0adb08ecbccc88ec7f633","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","CW001","05","SE","SEGA","exact compatible code match","e5f1686c-700c-42f6-bbc6-98aaa9ce1634","SE","SEGA","active","yes","no","code and normalized name agree","744f8d5eed01b133620347ce2fbba5f8","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","CW001","05","SM","SESAME STREET","exact compatible code match","1619ecdc-a0ad-4d1e-b8f2-7ea2aa1184fb","SM","SESAME STREET","active","yes","no","code and normalized name agree","4b5b81dafa5013c21455d9a6d4c54c40","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","CW001","05","SS","STRAWBERRY SHORTCAKE","exact compatible code match","4dba7d87-54ed-4dee-894b-570326953d92","SS","STRAWBERRY SHORTCAKE","active","yes","no","code and normalized name agree","e4fce84c13b46c69e258916f48e68507","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","CW001","05","SW","STAR WARS","exact compatible code match","14f2902d-42de-4820-83c5-e4f359a6e0d6","SW","STAR WARS","active","yes","no","code and normalized name agree","67e56ceec15c9a502bc62ffc2a3fc90f","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","CW001","05","VM","VIACOM MULTI","exact compatible code match","5f951f5e-aaee-4add-bb51-fea888951405","VM","VIACOM MULTI","active","yes","no","code and normalized name agree","ae61f4df16ceef244d7fd3f5051858db","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","CW001","05","WB","WARNER BROS","exact compatible code match","88313675-0089-4072-87be-5b989df8a3fc","WB","WARNER BROS","active","yes","no","code and normalized name agree","527729cd9c3b4cc5f064f4649d3f7c26","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","CW001","05","WW","WWE","exact compatible code match","7575d1db-dbee-4336-84a9-aa378f05f105","WW","WWE","active","yes","no","code and normalized name agree","02026125cfc61d486d11babf494e9fbb","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","CW001","05","ZG","ZAG","ColdLion-only candidate","","","","","","yes","no same-entity code or normalized-name candidate","51a9153001d5351d2e8bc3d8ce819c93","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","zag_coldlion_only_lapsed","pending_human","no_link","Albert Hazan (ZAG create decision)","ZAG (ZG) is a ColdLion-only LICENSOR with no canonical candidate; a known lapsed license still returned by ColdLion with no inactive marker. Mirror faithfully; do not link; do not create or activate a canonical ZAG licensor unless Albert explicitly approves.","Phase 4 link (none). Phase 5 create decision for ZAG.",""
"coldlion_source","licensor","EDGEHOME","CW001","05","ZZ","DTR - NO LICENSE","exact compatible code match","80276015-a751-4438-8c25-759c8dd005b2","ZZ","DTR - NO LICENSE","active","yes","no","code and normalized name agree","550f3269b5aa32e401a9f4462378bdb3","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","SP001","05","1P","TOEI - ONE PIECE","exact compatible code match","f39fe07e-e438-46b2-9e17-fb711358e790","1P","TOEI - ONE PIECE","active","yes","no","code and normalized name agree","670ba4a1f577c054e1623503a38be944","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","SP001","05","AA","AARDMAN ANIMATIONS","exact compatible code match","e90c3124-e66d-404f-b777-0dae9a5ee4f3","AA","AARDMAN ANIMATIONS","active","yes","no","code and normalized name agree","31152d7231708b154b5f72c3b55b5eb2","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","SP001","05","CB","CARE BEARS","exact compatible code match","b96edc00-9261-46ec-af93-9de0f5b88d48","CB","CARE BEARS","active","yes","no","code and normalized name agree","3a1907a0561a5dea46f4dc5f159b41e9","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","SP001","05","CC","COCA COLA","exact compatible code match","c70e095c-2baf-404e-a2a3-c198a259a3e6","CC","COCA COLA","active","yes","no","code and normalized name agree","45dcb22d7605a1e2659053b9ff27310d","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","SP001","05","DC","DC","exact compatible code match","33962356-f1f9-4226-b3ef-00154e5b7d56","DC","DC","active","yes","no","code and normalized name agree","f454a2536c449cbac22e1981edd64276","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","SP001","05","DY","DISNEY","exact compatible code match","7d141a6f-e229-46a2-b3f5-0ba0c97dd820","DY","DISNEY","active","yes","no","code and normalized name agree","7c1dc74b718a68122f4f3b6d7a5c658f","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","SP001","05","FK","FRIDA KAHLO","entity-type collision","","","","","","yes","no same-entity candidate; other-entity code=1; name=1","682033e46ca0aef50ffca0e222e6a0c8","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","frida_kahlo_cross_entity_quarantine","pending_human","no_link","Albert Hazan (FRIDA KAHLO licensor decision)","FRIDA KAHLO appears as a ColdLion LICENSOR (FK, mgTypeCode 05) with NO same-entity canonical licensor; the canonical FK is a PROPERTY (different entity). Safety rule: never match across entity types by code. Known lapsed license. Do not link; do not create a canonical FRIDA KAHLO licensor in Phase 5 unless Albert explicitly approves an inactive record.","Phase 4 link (none). Phase 5 create decision for a FRIDA KAHLO licensor.",""
"coldlion_source","licensor","EDGEHOME","SP001","05","HP","HARRY POTTER","exact compatible code match","ea61e3bb-37f2-4cef-a6f4-8aa314ea131f","HP","HARRY POTTER","active","yes","no","code and normalized name agree","5b4d12e0440eed5b2f871be44ebe27dc","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","SP001","05","MV","MARVEL","exact compatible code match","f143c083-2dfd-48b9-ac9b-43d2290a4e4c","MV","MARVEL","active","yes","no","code and normalized name agree","6e89e00c0e8a10cc24c115201e044c03","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","SP001","05","NA","NASA","exact normalized-name match","9625fce2-25b4-471c-b9d9-0fdb9e07a338","X-NASA","NASA","active","yes","yes","name is unique but code differs","e98623876a03f9a1499b1ce011df9add","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","nasa_name_only_pending","pending_human","link_only_after_approval","Albert Hazan (NASA cross-code link)","NASA: ColdLion licensor code NA matches canonical X-NASA by UNIQUE normalized name (single same-entity candidate; no type conflict) but the code differs, so this is an alias/rename candidate, not an exact compatible match. Recommended: link ColdLion NA to canonical X-NASA and PRESERVE canonical code X-NASA (no rename; field-ownership §5.2). NASA is a lapsed-license case; linking never changes its status. Requires explicit approval.","Phase 4 link for NASA gated on Albert's approval",""
"coldlion_source","licensor","EDGEHOME","SP001","05","NB","NBC","exact compatible code match","154bf54b-6f7d-4999-b0fb-c2828b12b56a","NB","NBC","active","yes","no","code and normalized name agree","9a29e9c761fdb8fd48e9323717d448d6","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","SP001","05","PN","PEANUTS WORLDWIDE","exact compatible code match","afff41a6-df31-4a9a-aea5-b919d1daff54","PN","PEANUTS WORLDWIDE","active","yes","no","code and normalized name agree","0e5453b3208c05c73671ec27d57566fa","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","SP001","05","PP","PAW PATROL","exact compatible code match","a03fff4b-65f4-4fd6-98ad-c9db3216b140","PP","PAW PATROL","active","yes","no","code and normalized name agree","9cbb7d19e798b9fe21788b4bd742489f","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","SP001","05","SE","SEGA","exact compatible code match","e5f1686c-700c-42f6-bbc6-98aaa9ce1634","SE","SEGA","active","yes","no","code and normalized name agree","ab727dcf2142a79e3d065056cc9a2c6a","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","SP001","05","SM","SESAME STREET","exact compatible code match","1619ecdc-a0ad-4d1e-b8f2-7ea2aa1184fb","SM","SESAME STREET","active","yes","no","code and normalized name agree","a2b91d583d77cae33484d57864b63538","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","SP001","05","SS","STRAWBERRY SHORTCAKE","exact compatible code match","4dba7d87-54ed-4dee-894b-570326953d92","SS","STRAWBERRY SHORTCAKE","active","yes","no","code and normalized name agree","26e5bcbc0ecc90802d8e6f919a1fe2a9","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","SP001","05","SW","STAR WARS","exact compatible code match","14f2902d-42de-4820-83c5-e4f359a6e0d6","SW","STAR WARS","active","yes","no","code and normalized name agree","314ffdb5327bea013b81e5c80424dc58","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","SP001","05","VM","VIACOM MULTI","exact compatible code match","5f951f5e-aaee-4add-bb51-fea888951405","VM","VIACOM MULTI","active","yes","no","code and normalized name agree","fc4a5b0b25fd11ac058d8ea8ece64579","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","SP001","05","WB","WARNER BROS","exact compatible code match","88313675-0089-4072-87be-5b989df8a3fc","WB","WARNER BROS","active","yes","no","code and normalized name agree","b55616927abd00f5b3e14126d368d4d1","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
"coldlion_source","licensor","EDGEHOME","SP001","05","WW","WWE","exact compatible code match","7575d1db-dbee-4336-84a9-aa378f05f105","WW","WWE","active","yes","no","code and normalized name agree","8084cd8f85ae7cdd3f36723ec8b88e27","8a18acf5-0ce6-4be1-a522-85ba5478be43","","","","","auto_link_eligible","auto_eligible","link_if_set_approved","automatic (no human decision required)","ColdLion composite key maps to exactly one same-entity canonical row whose code AND normalized name both agree (single candidate, no type conflict). Eligible for Phase 4 link_approved, which adds the ColdLion source ref + mirror->canonical UUID only and never touches code/name/status/parent.","none (proposed; awaits human approval of the auto-mapping set)",""
